Word ID,Word,Audio File,Folder Name,Status,Severity,Description
c58717ad-cda5-4d2b-8ee0-91f4aef2091a,all the time,allthetime,allthetime,missing_folder,high,"フォルダ "allthetime" がStorageに存在しません"
599d2ae3-efef-4ddd-99b1-4ac832be1f61,as soon as possible,as_soon_as_possible,as_soon_as_possible,partial_files,medium,"フォルダ "as_soon_as_possible" に一部の音声ファイルが不足しています"
e62d7f09-244e-40c9-9944-bcb5a28d9519,at the same time,atthesametime,atthesametime,missing_folder,high,"フォルダ "atthesametime" がStorageに存在しません"
ca2fcf5f-e75b-4f73-99de-56a10c9a7af6,attend,attend,attend,missing_audio_files,high,"フォルダ "attend" に音声ファイルが存在しません"
1e9147b8-f9d4-4c1b-bc57-4797ea2e3452,break down,break_down,break_down,missing_audio_files,high,"フォルダ "break_down" に音声ファイルが存在しません"
550b9036-ed54-4c28-bb82-d94fe33e4a47,bring up ①,bring_up,bring_up,missing_folder,high,"フォルダ "bring_up" がStorageに存在しません"
0f2f61e4-abf3-456b-9625-3c8220f5c397,depend on,depend_on,depend_on,partial_files,medium,"フォルダ "depend_on" に一部の音声ファイルが不足しています"
c6c17cfa-c4d4-401d-8a2d-78f24207c8b1,familiar with,familiar_with,familiar_with,partial_files,medium,"フォルダ "familiar_with" に一部の音声ファイルが不足しています"
4d07f69d-712e-4603-90eb-19989cdfd951,for a while,forawhile,forawhile,missing_folder,high,"フォルダ "forawhile" がStorageに存在しません"
74090b2b-febd-4f10-9465-1a520afe24ea,for the first time in a long time,forthefirsttimeinalongtime,forthefirsttimeinalongtime,missing_folder,high,"フォルダ "forthefirsttimeinalongtime" がStorageに存在しません"
3697bd48-e604-41b8-96d4-b368bcccac82,from now on,fromnowon,fromnowon,missing_folder,high,"フォルダ "fromnowon" がStorageに存在しません"
318d1e24-aafa-4f7c-924b-b5bf7b879456,get off,get_off_318d1e24,get_off_318d1e24,missing_folder,high,"フォルダ "get_off_318d1e24" がStorageに存在しません"
f0fc3602-6064-4bd7-b61c-485daa6f6b46,give it a shot,give_it_a_shot,give_it_a_shot,partial_files,medium,"フォルダ "give_it_a_shot" に一部の音声ファイルが不足しています"
36b4354d-4997-4631-935f-e68fa92e2ce8,have trouble ~ing,have_trouble_ing,have_trouble_ing,partial_files,medium,"フォルダ "have_trouble_ing" に一部の音声ファイルが不足しています"
8859ef29-80ed-4186-b586-d93428e4ec7f,in a hurry,inahurry,inahurry,missing_folder,high,"フォルダ "inahurry" がStorageに存在しません"
5a4ead5b-efc1-42fd-84f9-2905f66a0c3d,in charge of,in_charge_of,in_charge_of,partial_files,medium,"フォルダ "in_charge_of" に一部の音声ファイルが不足しています"
a3f06326-3c64-4f55-b150-1ecc0dd26088,make it,make_it,make_it,partial_files,medium,"フォルダ "make_it" に一部の音声ファイルが不足しています"
8cb8b663-627a-464b-bd1a-f035bc0be822,make up ①,make_up_8cb8b663,make_up_8cb8b663,missing_folder,high,"フォルダ "make_up_8cb8b663" がStorageに存在しません"
b1ab558e-b933-4220-b7cd-e20e710b256b,on my way,on_my_way,on_my_way,partial_files,medium,"フォルダ "on_my_way" に一部の音声ファイルが不足しています"
c9cc308c-a023-433a-bc47-c41d989a8033,on time,ontime,ontime,missing_folder,high,"フォルダ "ontime" がStorageに存在しません"
ef8ef386-3491-4e32-8218-c840b2352cb5,once in a while,onceinawhile,onceinawhile,missing_folder,high,"フォルダ "onceinawhile" がStorageに存在しません"
234c0e54-2050-4b9a-9b84-b53feb12c8c5,proud of,proud_of,proud_of,partial_files,medium,"フォルダ "proud_of" に一部の音声ファイルが不足しています"
aac39c14-008d-4d0a-b80c-7ed9e4507a91,rely on,rely_on,rely_on,partial_files,medium,"フォルダ "rely_on" に一部の音声ファイルが不足しています"
e04c76a5-3519-4e56-bc0b-a06841dd50a3,right away,right_away,right_away,partial_files,medium,"フォルダ "right_away" に一部の音声ファイルが不足しています"
8227e0f9-cd15-4060-906f-213712413d26,show off,show_off,show_off,missing_audio_files,high,"フォルダ "show_off" に音声ファイルが存在しません"
160ea2d2-bf04-48d2-b5c7-8e0a39466e18,sick and tired of,sick_and_tired_of,sick_and_tired_of,partial_files,medium,"フォルダ "sick_and_tired_of" に一部の音声ファイルが不足しています"
64db9713-1ff5-4134-ba15-f831de3ce954,take care of ①,take_care_of_64db9713,take_care_of_64db9713,missing_folder,high,"フォルダ "take_care_of_64db9713" がStorageに存在しません"
f5e53653-ccea-416f-8e87-19c3247a2023,up to,up_to,up_to,partial_files,medium,"フォルダ "up_to" に一部の音声ファイルが不足しています"
,,,1.run out of,orphaned_folder,low,"フォルダ "1.run out of" がデータベースに存在しません（孤立ファイル）"
,,,1.runoutof,orphaned_folder,low,"フォルダ "1.runoutof" がデータベースに存在しません（孤立ファイル）"
,,,2.turnon,orphaned_folder,low,"フォルダ "2.turnon" がデータベースに存在しません（孤立ファイル）"
,,,all_the_time,orphaned_folder,low,"フォルダ "all_the_time" がデータベースに存在しません（孤立ファイル）"
,,,at_the_same_time,orphaned_folder,low,"フォルダ "at_the_same_time" がデータベースに存在しません（孤立ファイル）"
,,,for_a_while,orphaned_folder,low,"フォルダ "for_a_while" がデータベースに存在しません（孤立ファイル）"
,,,for_the_first_time_in_a_long_time,orphaned_folder,low,"フォルダ "for_the_first_time_in_a_long_time" がデータベースに存在しません（孤立ファイル）"
,,,from_now_on,orphaned_folder,low,"フォルダ "from_now_on" がデータベースに存在しません（孤立ファイル）"
,,,get in,orphaned_folder,low,"フォルダ "get in" がデータベースに存在しません（孤立ファイル）"
,,,give up,orphaned_folder,low,"フォルダ "give up" がデータベースに存在しません（孤立ファイル）"
,,,in_a_hurry,orphaned_folder,low,"フォルダ "in_a_hurry" がデータベースに存在しません（孤立ファイル）"
,,,keep up,orphaned_folder,low,"フォルダ "keep up" がデータベースに存在しません（孤立ファイル）"
,,,make up,orphaned_folder,low,"フォルダ "make up" がデータベースに存在しません（孤立ファイル）"
